lon,lat,vs30
-75.436415178,-50.231588208,380
-75.436415178,-50.281588208,380
-75.436415178,-50.331588208,380
-75.436415178,-50.381588208,380
-75.436415178,-50.481588208,380
-75.436415178,-50.531588208,380
-75.436415178,-50.581588208,380
-75.436415178,-50.631588208,380
-75.436415178,-50.681588208,380
-75.436415178,-50.731588208,380
-75.436415178,-50.781588208,380
-75.386415178,-46.381588208,380
-75.386415178,-46.431588208,380
-75.386415178,-46.481588208,380
-75.386415178,-46.531588208,380
-75.386415178,-46.581588208,380
-75.386415178,-46.631588208,380
-75.386415178,-46.781588208,380
-75.386415178,-46.831588208,380
-75.386415178,-46.881588208,380
-75.386415178,-46.931588208,380
-75.386415178,-47.981588208,380
-75.386415178,-48.031588208,380
-75.386415178,-48.081588208,380
-75.386415178,-48.131588208,380
-75.386415178,-48.181588208,380
-75.386415178,-48.231588208,380
-75.386415178,-48.281588208,380
-75.386415178,-48.331588208,380
-75.386415178,-48.381588208,380
-75.386415178,-48.431588208,380
-75.386415178,-48.481588208,380
-75.386415178,-48.531588208,380
-75.386415178,-48.581588208,380
-75.386415178,-48.631588208,380
-75.386415178,-48.681588208,380
-75.386415178,-48.731588208,380
-75.386415178,-48.831588208,380
-75.386415178,-48.881588208,380
-75.386415178,-48.931588208,380
-75.386415178,-48.981588208,380
-75.386415178,-49.031588208,380
-75.386415178,-49.081588208,380
-75.386415178,-49.131588208,380
-75.386415178,-49.181588208,380
-75.386415178,-49.281588208,380
-75.386415178,-49.331588208,380
-75.386415178,-49.381588208,380
-75.386415178,-49.431588208,380
-75.386415178,-49.481588208,380
-75.386415178,-49.581588208,380
-75.386415178,-49.631588208,380
-75.386415178,-49.681588208,380
-75.386415178,-49.731588208,380
-75.386415178,-49.781588208,380
-75.386415178,-49.831588208,380
-75.386415178,-50.031588208,380
-75.386415178,-50.081588208,380
-75.386415178,-50.131588208,380
-75.386415178,-50.181588208,380
-75.386415178,-50.231588208,380
-75.386415178,-50.281588208,380
-75.386415178,-50.331588208,380
-75.386415178,-50.481588208,380
-75.386415178,-50.531588208,380
-75.386415178,-50.581588208,380
-75.386415178,-50.631588208,380
-75.386415178,-50.681588208,380
-75.386415178,-50.731588208,380
-75.386415178,-50.781588208,380
-75.336415178,-46.381588208,380
-75.336415178,-46.431588208,380
-75.336415178,-46.481588208,380
-75.336415178,-46.531588208,380
-75.336415178,-46.581588208,380
-75.336415178,-46.631588208,380
-75.336415178,-46.681588208,380
-75.336415178,-46.731588208,380
-75.336415178,-46.831588208,380
-75.336415178,-46.881588208,380
-75.336415178,-47.681588208,380
-75.336415178,-47.731588208,380
-75.336415178,-47.781588208,380
-75.336415178,-47.981588208,380
-75.336415178,-48.031588208,380
-75.336415178,-48.081588208,380
-75.336415178,-48.131588208,380
-75.336415178,-48.181588208,380
-75.336415178,-48.231588208,380
-75.336415178,-48.281588208,380
-75.336415178,-48.331588208,380
-75.336415178,-48.381588208,380
-75.336415178,-48.431588208,380
-75.336415178,-48.481588208,380
-75.336415178,-48.531588208,380
-75.336415178,-48.581588208,380
-75.336415178,-48.631588208,380
-75.336415178,-48.681588208,380
-75.336415178,-48.731588208,380
-75.336415178,-48.831588208,380
-75.336415178,-48.881588208,380
-75.336415178,-48.931588208,380
-75.336415178,-48.981588208,380
-75.336415178,-49.031588208,380
-75.336415178,-49.081588208,380
-75.336415178,-49.131588208,380
-75.336415178,-49.281588208,380
-75.336415178,-49.331588208,380
-75.336415178,-49.381588208,380
-75.336415178,-49.431588208,380
-75.336415178,-49.481588208,380
-75.336415178,-49.531588208,380
-75.336415178,-49.631588208,380
-75.336415178,-49.681588208,380
-75.336415178,-49.731588208,380
-75.336415178,-49.781588208,380
-75.336415178,-49.831588208,380
-75.336415178,-49.881588208,380
-75.336415178,-49.981588208,380
-75.336415178,-50.031588208,380
-75.336415178,-50.081588208,380
-75.336415178,-50.131588208,380
-75.336415178,-50.181588208,380
-75.336415178,-50.231588208,380
-75.336415178,-50.281588208,380
-75.336415178,-50.331588208,380
-75.336415178,-50.381588208,380
-75.336415178,-50.431588208,380
-75.336415178,-50.481588208,380
-75.336415178,-50.531588208,380
-75.336415178,-50.581588208,380
-75.336415178,-50.631588208,380
-75.336415178,-50.681588208,380
-75.336415178,-50.731588208,380
-75.336415178,-50.781588208,380
-75.336415178,-51.531588208,380
-75.336415178,-51.581588208,380
-75.336415178,-51.631588208,380
-75.286415178,-46.381588208,380
-75.286415178,-46.431588208,380
-75.286415178,-46.481588208,380
-75.286415178,-46.531588208,380
-75.286415178,-46.581588208,380
-75.286415178,-46.631588208,380
-75.286415178,-46.681588208,380
-75.286415178,-46.731588208,380
-75.286415178,-47.681588208,380
-75.286415178,-47.731588208,380
-75.286415178,-47.781588208,380
-75.286415178,-48.031588208,380
-75.286415178,-48.081588208,380
-75.286415178,-48.131588208,380
-75.286415178,-48.181588208,380
-75.286415178,-48.231588208,380
-75.286415178,-48.281588208,380
-75.286415178,-48.331588208,380
-75.286415178,-48.381588208,380
-75.286415178,-48.431588208,380
-75.286415178,-48.481588208,380
-75.286415178,-48.531588208,380
-75.286415178,-48.581588208,380
-75.286415178,-48.631588208,380
-75.286415178,-48.681588208,380
-75.286415178,-48.731588208,380
-75.286415178,-48.781588208,380
-75.286415178,-48.831588208,380
-75.286415178,-48.881588208,380
-75.286415178,-48.931588208,380
-75.286415178,-48.981588208,380
-75.286415178,-49.031588208,380
-75.286415178,-49.081588208,380
-75.286415178,-49.131588208,380
-75.286415178,-49.231588208,380
-75.286415178,-49.281588208,380
-75.286415178,-49.331588208,380
-75.286415178,-49.381588208,380
-75.286415178,-49.431588208,380
-75.286415178,-49.481588208,380
-75.286415178,-49.531588208,380
-75.286415178,-49.581588208,380
-75.286415178,-49.631588208,380
-75.286415178,-49.681588208,380
-75.286415178,-49.731588208,380
-75.286415178,-49.781588208,380
-75.286415178,-49.831588208,380
-75.286415178,-49.881588208,380
-75.286415178,-49.981588208,380
-75.286415178,-50.031588208,380
-75.286415178,-50.081588208,380
-75.286415178,-50.131588208,380
-75.286415178,-50.181588208,380
-75.286415178,-50.231588208,380
-75.286415178,-50.281588208,380
-75.286415178,-50.331588208,380
-75.286415178,-50.381588208,380
-75.286415178,-50.431588208,380
-75.286415178,-50.481588208,380
-75.286415178,-50.531588208,380
-75.286415178,-50.581588208,380
-75.286415178,-50.631588208,380
-75.286415178,-50.681588208,380
-75.286415178,-50.731588208,380
-75.286415178,-50.781588208,380
-75.286415178,-51.531588208,380
-75.286415178,-51.581588208,380
-75.286415178,-51.631588208,380
-75.236415178,-46.331588208,380
-75.236415178,-46.381588208,380
-75.236415178,-46.431588208,380
-75.236415178,-46.481588208,380
-75.236415178,-46.531588208,380
-75.236415178,-46.581588208,380
-75.236415178,-46.631588208,380
-75.236415178,-46.681588208,380
-75.236415178,-46.731588208,380
-75.236415178,-47.731588208,380
-75.236415178,-47.781588208,380
-75.236415178,-47.831588208,380
-75.236415178,-47.931588208,380
-75.236415178,-47.981588208,380
-75.236415178,-48.031588208,380
-75.236415178,-48.081588208,380
-75.236415178,-48.131588208,380
-75.236415178,-48.181588208,380
-75.236415178,-48.231588208,380
-75.236415178,-48.281588208,380
-75.236415178,-48.331588208,380
-75.236415178,-48.381588208,380
-75.236415178,-48.431588208,380
-75.236415178,-48.481588208,380
-75.236415178,-48.531588208,380
-75.236415178,-48.581588208,380
-75.236415178,-48.631588208,380
-75.236415178,-48.681588208,380
-75.236415178,-48.731588208,380
-75.236415178,-48.781588208,380
-75.236415178,-48.831588208,380
-75.236415178,-48.881588208,380
-75.236415178,-48.931588208,380
-75.236415178,-48.981588208,380
-75.236415178,-49.031588208,380
-75.236415178,-49.081588208,380
-75.236415178,-49.131588208,380
-75.236415178,-49.281588208,380
-75.236415178,-49.331588208,380
-75.236415178,-49.381588208,380
-75.236415178,-49.431588208,380
-75.236415178,-49.481588208,380
-75.236415178,-49.531588208,380
-75.236415178,-49.581588208,380
-75.236415178,-49.631588208,380
-75.236415178,-49.681588208,380
-75.236415178,-49.731588208,380
-75.236415178,-49.781588208,380
-75.236415178,-49.831588208,380
-75.236415178,-49.881588208,380
-75.236415178,-50.031588208,380
-75.236415178,-50.081588208,380
-75.236415178,-50.131588208,380
-75.236415178,-50.181588208,380
-75.236415178,-50.231588208,380
-75.236415178,-50.281588208,380
-75.236415178,-50.331588208,380
-75.236415178,-50.381588208,380
-75.236415178,-50.431588208,380
-75.236415178,-50.481588208,380
-75.236415178,-50.531588208,380
-75.236415178,-50.581588208,380
-75.236415178,-51.281588208,380
-75.236415178,-51.331588208,380
-75.236415178,-51.381588208,380
-75.236415178,-51.431588208,380
-75.236415178,-51.481588208,380
-75.236415178,-51.531588208,380
-75.236415178,-51.581588208,380
-75.236415178,-51.631588208,380
-75.186415178,-44.781588208,380
-75.186415178,-44.831588208,380
-75.186415178,-44.881588208,380
-75.186415178,-44.931588208,380
-75.186415178,-46.281588208,380
-75.186415178,-46.331588208,380
-75.186415178,-46.381588208,380
-75.186415178,-46.431588208,380
-75.186415178,-46.481588208,380
-75.186415178,-46.531588208,380
-75.186415178,-46.581588208,380
-75.186415178,-46.631588208,380
-75.186415178,-46.681588208,380
-75.186415178,-46.731588208,380
-75.186415178,-46.781588208,380
-75.186415178,-47.731588208,380
-75.186415178,-47.781588208,380
-75.186415178,-47.831588208,380
-75.186415178,-47.881588208,380
-75.186415178,-47.931588208,380
-75.186415178,-47.981588208,380
-75.186415178,-48.031588208,380
-75.186415178,-48.081588208,380
-75.186415178,-48.131588208,380
-75.186415178,-48.181588208,380
-75.186415178,-48.231588208,380
-75.186415178,-48.281588208,380
-75.186415178,-48.331588208,380
-75.186415178,-48.381588208,380
-75.186415178,-48.431588208,380
-75.186415178,-48.481588208,380
-75.186415178,-48.531588208,380
-75.186415178,-48.581588208,380
-75.186415178,-48.631588208,380
-75.186415178,-48.681588208,380
-75.186415178,-48.731588208,380
-75.186415178,-48.781588208,380
-75.186415178,-48.831588208,380
-75.186415178,-48.881588208,380
-75.186415178,-48.931588208,380
-75.186415178,-48.981588208,380
-75.186415178,-49.031588208,380
-75.186415178,-49.081588208,380
-75.186415178,-49.131588208,380
-75.186415178,-49.181588208,380
-75.186415178,-49.281588208,380
-75.186415178,-49.331588208,380
-75.186415178,-49.381588208,380
-75.186415178,-49.431588208,380
-75.186415178,-49.481588208,380
-75.186415178,-49.531588208,380
-75.186415178,-49.581588208,380
-75.186415178,-49.631588208,380
-75.186415178,-49.681588208,380
-75.186415178,-49.731588208,380
-75.186415178,-49.781588208,380
-75.186415178,-49.831588208,380
-75.186415178,-49.881588208,380
-75.186415178,-50.031588208,380
-75.186415178,-50.081588208,380
-75.186415178,-50.131588208,380
-75.186415178,-50.181588208,380
-75.186415178,-50.231588208,380
-75.186415178,-50.281588208,380
-75.186415178,-50.331588208,380
-75.186415178,-50.381588208,380
-75.186415178,-50.431588208,380
-75.186415178,-50.481588208,380
-75.186415178,-50.531588208,380
-75.186415178,-50.581588208,380
-75.186415178,-51.281588208,380
-75.186415178,-51.331588208,380
-75.186415178,-51.381588208,380
-75.186415178,-51.431588208,380
-75.186415178,-51.481588208,380
-75.186415178,-51.531588208,380
-75.186415178,-51.581588208,380
-75.136415178,-44.781588208,380
