id,time_iso,longitude,latitude,depth,mag,mag_type,lon_error,lat_error,depth_error,mag_error,strike1,dip1,rake1,strike2,dip2,rake2,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,dups,class_raw,sub_depth,class,time,mc_window,tc_years,mc_window_index
47,1784-05-13T12:36:00,-72.0,-16.5,64.55,8.4,mw,,,,0.6,,,,,,,,,,,,,CERESIS-GEM,,forearc,82.3782653809,forearc,1784-05-13T12:36:00,8.2,386.9924709103354,0
79,1821-07-10T13:00:00,-72.967,-16.107,47.9,8.2,mw,,,,0.2,,,,,,,,,,,,,CERESIS-GEM,,forearc,67.0105133057,forearc,1821-07-10T13:00:00,8.2,386.9924709103354,0
184,1904-03-19T06:28:00,-71.0,-29.0,0.0,6.9,mw,,,,,,,,,,,,,,,,,ISC,,forearc,45.6872215271,forearc,1904-03-19T06:28:00,6.8,49.998631074606436,1
191,1906-08-30T02:38:26,-70.092,-18.358,60.0,6.9,mw,,,31.6,0.26,,,,,,,,,,,,,ISC-GEM,,forearc,77.3906021118,forearc,1906-08-30T02:38:26,6.8,49.998631074606436,1
218,1914-02-26T04:58:12,-67.0,-18.0,130.0,7.1,mw,,,,,,,,,,,,,,,,,ISC,,forearc,248.403213501,forearc,1914-02-26T04:58:12,6.8,49.998631074606436,1
247,1920-08-20T16:15:43,-72.887,-37.911,15.0,7.0,mw,,,5.8,0.2,,,,,,,,,,,,,ISC-GEM,,forearc,45.2538070679,forearc,1920-08-20T16:15:43,6.8,49.998631074606436,1
251,1920-12-10T04:25:50,-73.0,-39.102,25.0,7.4,mw,,,25.0,0.56,,,,,,,,,,,,,ISC-GEM,,forearc,53.6902160645,forearc,1920-12-10T04:25:50,6.8,49.998631074606436,1
268,1923-07-04T16:49:00,-66.0,-18.0,153.0,6.9,mw,,,,0.2,,,,,,,,,,,,,CERESIS-GEM,,forearc,334.154510498,forearc,1923-07-04T16:49:00,6.8,49.998631074606436,1
271,1923-09-02T22:38:12,-68.5,-16.0,150.0,7.0,mw,,,,0.2,,,,,,,,,,,,,CERESIS-GEM,,forearc,252.696975708,forearc,1923-09-02T22:38:12,6.8,49.998631074606436,1
278,1924-01-31T00:58:40,-66.0,-18.0,153.0,6.9,mw,,,,0.2,,,,,,,,,,,,,CERESIS-GEM,,forearc,334.154510498,forearc,1924-01-31T00:58:40,6.8,49.998631074606436,1
281,1924-03-06T09:19:56,-66.0,-19.5,193.0,6.9,mw,,,,0.2,,,,,,,,,,,,,CERESIS-GEM,,forearc,283.393218994,forearc,1924-03-06T09:19:56,6.8,49.998631074606436,1
312,1927-01-20T10:16:18,-67.0,-21.0,133.0,6.8,mw,,,,0.2,,,,,,,,,,,,,CERESIS-GEM,,forearc,178.377212524,forearc,1927-01-20T10:16:18,6.8,49.998631074606436,1
317,1927-04-09T16:51:00,-67.0,-21.0,96.0,6.8,mw,,,,0.2,,,,,,,,,,,,,CERESIS-GEM,,forearc,178.377212524,forearc,1927-04-09T16:51:00,6.8,49.998631074606436,1
681,1950-01-21T14:09:49,-71.5,-36.0,64.0,6.2,mw,,,,0.6,,,,,,,,,,,,,CERESIS-GEM,,forearc,81.3037338257,forearc,1950-01-21T14:09:49,5.9,25.998631074606433,2
725,1953-05-02T23:50:00,-71.1,-17.2,20.0,6.2,mw,,,,0.6,,,,,,,,,,,,,CERESIS-GEM,,forearc,83.0639648438,forearc,1953-05-02T23:50:00,5.9,25.998631074606433,2
740,1954-05-21T00:59:00,-71.75,-16.45,25.0,6.2,mw,,,,0.6,,,,,,,,,,,,,CERESIS-GEM,,forearc,93.4140014648,forearc,1954-05-21T00:59:00,5.9,25.998631074606433,2
741,1954-05-25T00:20:00,-71.8,-16.25,15.0,6.2,mw,,,,0.6,,,,,,,,,,,,,CERESIS-GEM,,forearc,98.3597869873,forearc,1954-05-25T00:20:00,5.9,25.998631074606433,2
744,1954-07-10T05:20:00,-71.6,-16.6,15.0,6.2,mw,,,,0.6,,,,,,,,,,,,,CERESIS-GEM,,forearc,93.0213241577,forearc,1954-07-10T05:20:00,5.9,25.998631074606433,2
753,1954-12-19T09:00:00,-71.7,-16.28,30.0,6.6,mw,,,,0.2,,,,,,,,,,,,,CERESIS-GEM,,forearc,100.563354492,forearc,1954-12-19T09:00:00,5.9,25.998631074606433,2
755,1954-12-28T17:00:00,-71.66,-16.5,20.0,6.2,mw,,,,0.6,,,,,,,,,,,,,CERESIS-GEM,,forearc,95.1949615479,forearc,1954-12-28T17:00:00,5.9,25.998631074606433,2
758,1955-02-19T03:44:28,-65.0,-20.5,250.0,6.0,mw,,,,0.29,,,,,,,,,,,,,CERESIS-GEM,,forearc,331.19519043,forearc,1955-02-19T03:44:28,5.9,25.998631074606433,2
768,1955-08-27T02:49:00,-70.9,-17.2,25.0,6.2,mw,,,,0.6,,,,,,,,,,,,,CERESIS-GEM,,forearc,88.923828125,forearc,1955-08-27T02:49:00,5.9,25.998631074606433,2
772,1955-11-17T06:53:33,-70.155,-26.406,33.8,6.4,mw,,,4.6,0.28,,,,,,,,,,,,,ISC-GEM,,forearc,57.106048584,forearc,1955-11-17T06:53:33,5.9,25.998631074606433,2
826,1958-08-21T00:12:53,-65.0,-20.0,300.0,6.0,mw,,,,0.29,,,,,,,,,,,,,CERESIS-GEM,,forearc,355.75692749,forearc,1958-08-21T00:12:53,5.9,25.998631074606433,2
838,1958-10-11T14:37:42,-65.0,-23.5,200.0,6.1,mw,,,,0.17,,,,,,,,,,,,,CERESIS-GEM,,forearc,328.552185059,forearc,1958-10-11T14:37:42,5.9,25.998631074606433,2
898,1960-05-23T02:46:36,-73.367,-41.579,25.0,6.3,mw,,,8.8,0.2,,,,,,,,,,,,,ISC-GEM,,forearc,51.1853675842,forearc,1960-05-23T02:46:36,5.9,25.998631074606433,2
897,1960-05-23T05:13:40,-72.691,-38.162,25.0,6.4,mw,,,30.4,0.28,,,,,,,,,,,,,ISC-GEM,,forearc,54.9512214661,forearc,1960-05-23T05:13:40,5.9,25.998631074606433,2
901,1960-05-23T10:38:04,-73.613,-43.642,20.0,6.1,mw,,,25.0,0.32,,,,,,,,,,,,,ISC-GEM,,forearc,53.4141731262,forearc,1960-05-23T10:38:04,5.9,25.998631074606433,2
911,1960-05-29T07:39:34,-72.436,-37.689,25.0,6.3,mw,,,20.3,0.2,,,,,,,,,,,,,ISC-GEM,,forearc,62.0129508972,forearc,1960-05-29T07:39:34,5.9,25.998631074606433,2
925,1960-06-20T02:01:15,-72.917,-38.154,25.0,7.2,mw,,,5.8,0.4,,,,,,,,,,,,,ISC-GEM,,forearc,47.1915588379,forearc,1960-06-20T02:01:15,5.9,25.998631074606433,2
926,1960-06-20T12:59:47,-72.813,-39.071,25.0,6.9,mw,,,24.3,0.2,,,,,,,,,,,,,ISC-GEM,,forearc,61.1477355957,forearc,1960-06-20T12:59:47,5.9,25.998631074606433,2
928,1960-06-29T01:57:20,-73.836,-42.904,25.0,6.1,mw,,,0.4,0.42,,,,,,,,,,,,,ISC-GEM,,forearc,41.1524658203,forearc,1960-06-29T01:57:20,5.9,25.998631074606433,2
964,1960-12-02T09:37:36,-69.5,-24.4,46.0,6.8,mw,,,,0.2,,,,,,,,,,,,,CERESIS-GEM,,forearc,66.7064285278,forearc,1960-12-02T09:37:36,5.9,25.998631074606433,2
968,1960-12-29T19:01:38,-69.4,-18.9,39.0,6.6,mw,,,,0.2,,,,,,,,,,,,,CERESIS-GEM,,forearc,91.781288147,forearc,1960-12-29T19:01:38,5.9,25.998631074606433,2
976,1961-04-08T17:59:47,-72.8,-38.258,25.0,6.2,mw,,,4.5,0.47,,,,,,,,,,,,,ISC-GEM,,forearc,51.8529891968,forearc,1961-04-08T17:59:47,5.9,25.998631074606433,2
1034,1962-09-29T07:58:20,-70.5,-17.1,33.0,6.5,mw,,,,0.2,,,,,,,,,,,,,CERESIS-GEM,,forearc,103.723579407,forearc,1962-09-29T07:58:20,5.9,25.998631074606433,2
1116,1963-12-03T23:03:47,-69.962,-22.691,35.0,6.3,mw,,,4.8,0.3,203.0,44.0,25.0,94.0,73.0,131.0,,,,,,,ISC-GEM,,forearc,45.4363288879,forearc,1963-12-03T23:03:47,5.9,25.998631074606433,2
1721,1966-04-12T23:37:43,-72.695,-38.231,35.0,6.3,mw,,,30.4,0.2,356.0,10.0,95.0,171.0,80.0,89.0,,,,,,,ISC-GEM,,forearc,55.8547668457,forearc,1966-04-12T23:37:43,5.9,25.998631074606433,2
1723,1966-04-13T03:35:17,-72.849,-38.206,35.0,5.9,mw,,,4.5,0.2,37.0,15.0,136.0,170.0,80.0,79.0,,,,,,,ISC-GEM,,forearc,49.4818916321,forearc,1966-04-13T03:35:17,5.9,25.998631074606433,2
1987,1966-12-28T08:18:08,-70.55,-25.494,25.0,7.7,mw,,,3.9,0.3,70.0,41.0,150.0,184.0,71.0,53.0,,,,,,,ISC-GEM,,forearc,36.1603317261,forearc,1966-12-28T08:18:08,5.9,25.998631074606433,2
4705,1975-05-10T14:27:42,-72.976,-38.15,18.0,6.3,mw,,,,,,,,,,,,,,,,,ISC,,forearc,43.6458053589,forearc,1975-05-10T14:27:42,5.9,25.998631074606433,2
4704,1975-05-10T14:27:45,-72.912,-38.152,30.0,7.8,mw,,,5.8,0.2,13.0,18.0,129.0,153.0,76.0,78.0,,,,,,,ISC-GEM,,forearc,47.1915588379,forearc,1975-05-10T14:27:45,5.9,25.998631074606433,2
4814,1975-08-10T10:25:43,-66.589,-22.648,166.0,6.6,mw,,,,,154.0,22.0,-88.0,332.0,68.0,-91.0,-4.8,1.01,3.79,2.38,-4.47,-1.89,USGS,,forearc,186.801528931,forearc,1975-08-10T10:25:43,5.9,25.998631074606433,2
4931,1976-02-28T16:27:09,-74.727,-39.999,9.0,6.4,mw,,,,,13.0,45.0,-85.0,187.0,45.0,-95.0,-8e+17,-2.3e+17,1.03e+18,-3e+16,1e+16,2.3e+17,USGS,,forearc,10.3211832047,forearc,1976-02-28T16:27:09,5.8,10.001368925393566,3
5026,1976-09-06T23:58:02,-66.301,-21.327,188.0,5.9,mw,,,,,,,,,,,,,,,,,USGS,,forearc,217.220321655,forearc,1976-09-06T23:58:02,5.8,10.001368925393566,3
5079,1976-11-30T17:08:41,-69.21,-19.947,69.0,5.9,mw,,,,,,,,,,,,,,,,,USGS,,forearc,84.2719497681,forearc,1976-11-30T17:08:41,5.8,10.001368925393566,3
5197,1977-06-05T02:46:13,-69.71,-23.51,32.0,5.9,mw,0.08,0.07,0.0,,94.0,20.0,-162.0,347.0,84.0,-71.0,-1.055e+17,-2500000000000000.0,1.08e+17,2.1960000000000003e+17,-7.114e+17,-3.312e+17,GCMT,,forearc,56.4676094055,forearc,1977-06-05T02:46:13,5.8,10.001368925393566,3
5646,1978-12-21T01:13:55,-72.463,-36.286,47.0,6.1,mw,,,,,101.0,34.0,52.0,324.0,64.0,112.0,5.478e+17,-4.288e+17,-1.19e+17,-1.293e+17,4.274e+17,2.866e+17,USGS,,forearc,49.9037818909,forearc,1978-12-21T01:13:55,5.8,10.001368925393566,3
5676,1979-02-16T10:08:58,-72.48,-16.88,34.3,7.1,mw,0.02,0.02,1.0,,59.0,16.0,25.0,305.0,84.0,104.0,1.208e+19,-2.331e+19,1.123e+19,-4.718e+19,3.404e+19,3.06e+18,GCMT,,forearc,48.1521110535,forearc,1979-02-16T10:08:58,5.8,10.001368925393566,3
5699,1979-03-11T06:06:41,-69.022,-22.301,61.0,5.9,mw,,,,,,,,,,,,,,,,,USGS,,forearc,78.4890213013,forearc,1979-03-11T06:06:41,5.8,10.001368925393566,3
6065,1980-08-29T10:38:14,-73.103,-39.664,34.0,5.8,mw,,,,,171.0,29.0,140.0,298.0,72.0,67.0,8.34e+16,-1.58e+16,-6.760000000000001e+16,-1.054e+17,2.24e+16,4.74e+16,USGS,,forearc,55.4285469055,forearc,1980-08-29T10:38:14,5.8,10.001368925393566,3
6184,1981-03-23T19:28:15,-71.81,-33.96,16.6,6.4,mw,0.06,0.04,2.5,,335.0,5.0,73.0,173.0,85.0,91.0,1.027e+18,-5.4000000000000006e+17,-4.87e+17,5.85e+17,-4.676e+18,1.14e+17,GCMT,,forearc,33.4850769043,forearc,1981-03-23T19:28:15,5.8,10.001368925393566,3
6865,1983-10-09T11:25:43,-70.355,-26.116,24.0,5.9,mw,,,,,9.0,20.0,111.0,167.0,71.0,82.0,3.858e+18,1.27e+17,-3.986e+18,1.429e+18,-4.9e+18,1.26e+17,ISC,,forearc,46.2315826416,forearc,1983-10-09T11:25:43,5.8,10.001368925393566,3
7288,1985-03-04T06:07:12,-72.08,-33.43,10.0,6.3,mw,0.25,0.18,0.0,,215.0,24.0,143.0,340.0,76.0,70.0,1.579e+18,7.2e+17,-2.299e+18,-1.231e+18,2.721e+18,-3.16e+17,GCMT,,forearc,20.5446720123,forearc,1985-03-04T06:07:12,5.8,10.001368925393566,3
8477,1987-03-06T07:06:55,-69.7,-23.53,41.0,6.0,mw,0.3,0.17,0.0,,113.0,24.0,-177.0,20.0,89.0,-66.0,1.5e+16,-5.63e+17,5.4800000000000006e+17,-2.95e+17,-1.303e+18,-3.23e+17,GCMT,,forearc,56.6271820068,forearc,1987-03-06T07:06:55,5.8,11.000684462696784,4
