site,domain,level,poe
iquique,total,0.005,0.993817331926525
iquique,total,0.006234021895737255,0.9864237566111607
iquique,total,0.007772605799306304,0.972512345951144
iquique,total,0.009690918947961973,0.9486986019232315
iquique,total,0.012082680182281997,0.9115831921537411
iquique,total,0.015064738563107317,0.8587722166043705
iquique,total,0.01878278201119368,0.7898931864859539
iquique,total,0.023418454864128246,0.7071179455195552
iquique,total,0.02919823207746202,0.6149213199768223
iquique,total,0.036404483617543226,0.5191341983360699
iquique,total,0.04538926959495454,0.42569511134740884
iquique,total,0.05659154009729356,0.33954307398689
iquique,total,0.07055858001600415,0.26397203011210074
iquique,total,0.08797274655037983,0.20051249336851754
iquique,total,0.10968480564464235,0.14919204653138304
iquique,total,0.13675549600367723,0.10900516748200162
iquique,total,0.17050735128986647,0.07837771117718659
iquique,total,0.21258931226503822,0.055556854136637364
iquique,total,0.2650572854919946,0.03886383330518734
iquique,total,0.3304745842763549,0.02683059806931123
iquique,total,0.412037158872693,0.0182638744559241
iquique,total,0.513729734053947,0.01223400710978457
iquique,total,0.6405204821167169,0.008039144580872381
iquique,total,0.7986037420367598,0.005162255063273184
iquique,total,0.9957026427749722,0.00322615548812864
iquique,total,1.2414464153405262,0.0019537547578001974
iquique,total,1.547840827123473,0.0011410698369400958
iquique,total,1.92985472148076,0.0006392452774100541
iquique,total,2.4061513178605933,0.00034138574675740763
iquique,total,3.0,0.0001725464725244022
antofagasta,total,0.005,0.9838280818406487
antofagasta,total,0.006234021895737255,0.9688928002366799
antofagasta,total,0.007772605799306304,0.9447082700493745
antofagasta,total,0.009690918947961973,0.9088092428864908
antofagasta,total,0.012082680182281997,0.8596679341941134
antofagasta,total,0.015064738563107317,0.797242445938289
antofagasta,total,0.01878278201119368,0.7231831009582615
antofagasta,total,0.023418454864128246,0.6406428069848564
antofagasta,total,0.02919823207746202,0.553749537277594
antofagasta,total,0.036404483617543226,0.46692008306691424
antofagasta,total,0.04538926959495454,0.38419526567994633
antofagasta,total,0.05659154009729356,0.30874867394193994
antofagasta,total,0.07055858001600415,0.2426397255880059
antofagasta,total,0.08797274655037983,0.18679292686681725
antofagasta,total,0.10968480564464235,0.14115553091021726
antofagasta,total,0.13675549600367723,0.10494867115628442
antofagasta,total,0.17050735128986647,0.07695352376725051
antofagasta,total,0.21258931226503822,0.05577150910397755
antofagasta,total,0.2650572854919946,0.04002057226430042
antofagasta,total,0.3304745842763549,0.028459167172361043
antofagasta,total,0.412037158872693,0.02004817364761548
antofagasta,total,0.513729734053947,0.013965257741407536
antofagasta,total,0.6405204821167169,0.009588110347723708
antofagasta,total,0.7986037420367598,0.006458958714641631
antofagasta,total,0.9957026427749722,0.004244808482041846
antofagasta,total,1.2414464153405262,0.002704571105928153
antofagasta,total,1.547840827123473,0.0016597975155769745
antofagasta,total,1.92985472148076,0.0009745509882688565
antofagasta,total,2.4061513178605933,0.0005434629710238373
antofagasta,total,3.0,0.00028528276151482693
copiapo,total,0.005,0.9548143590345048
copiapo,total,0.006234021895737255,0.9264743258740745
copiapo,total,0.007772605799306304,0.8866272999293177
copiapo,total,0.009690918947961973,0.8340879053314214
copiapo,total,0.012082680182281997,0.7690175219283439
copiapo,total,0.015064738563107317,0.6931550689580855
copiapo,total,0.01878278201119368,0.6096890318171121
copiapo,total,0.023418454864128246,0.5227865703254939
copiapo,total,0.02919823207746202,0.43690335854329165
copiapo,total,0.036404483617543226,0.3560697661030568
copiapo,total,0.04538926959495454,0.2833480708447751
copiapo,total,0.05659154009729356,0.22056816385032144
copiapo,total,0.07055858001600415,0.168340846831072
copiapo,total,0.08797274655037983,0.12629093941766759
copiapo,total,0.10968480564464235,0.0933789453455595
copiapo,total,0.13675549600367723,0.06822502541150893
copiapo,total,0.17050735128986647,0.04936673713345079
copiapo,total,0.21258931226503822,0.035436812687106425
copiapo,total,0.2650572854919946,0.025250300222123014
copiapo,total,0.3304745842763549,0.017847638905188073
copiapo,total,0.412037158872693,0.012486330955708391
copiapo,total,0.513729734053947,0.00861280123007018
copiapo,total,0.6405204821167169,0.005827278183528686
copiapo,total,0.7986037420367598,0.003844223850115664
copiapo,total,0.9957026427749722,0.0024571514422452325
copiapo,total,1.2414464153405262,0.0015119084540667243
copiapo,total,1.547840827123473,0.0008895547951091438
copiapo,total,1.92985472148076,0.0004968326626723866
copiapo,total,2.4061513178605933,0.00026109676991181886
copiapo,total,3.0,0.00012736447702463925
valparaiso,total,0.005,0.9831572251894511
valparaiso,total,0.006234021895737255,0.9705841639836319
valparaiso,total,0.007772605799306304,0.9511060122358606
valparaiso,total,0.009690918947961973,0.9226289967624474
valparaiso,total,0.012082680182281997,0.8833368148452583
valparaiso,total,0.015064738563107317,0.8321476387152447
valparaiso,total,0.01878278201119368,0.7691297838338643
valparaiso,total,0.023418454864128246,0.6957345189259391
valparaiso,total,0.02919823207746202,0.6147395585972815
valparaiso,total,0.036404483617543226,0.5298904301161409
valparaiso,total,0.04538926959495454,0.445320891076466
valparaiso,total,0.05659154009729356,0.3649154052107591
valparaiso,total,0.07055858001600415,0.2917825979079584
valparaiso,total,0.08797274655037983,0.22794476132774735
valparaiso,total,0.10968480564464235,0.17428247257859902
valparaiso,total,0.13675549600367723,0.13068296592119139
valparaiso,total,0.17050735128986647,0.09631530836058083
valparaiso,total,0.21258931226503822,0.06992750486368313
valparaiso,total,0.2650572854919946,0.050110536152898524
valparaiso,total,0.3304745842763549,0.03549026126572863
valparaiso,total,0.412037158872693,0.02485060493537746
valparaiso,total,0.513729734053947,0.017186007829860316
valparaiso,total,0.6405204821167169,0.011708990355189599
valparaiso,total,0.7986037420367598,0.007829013405554724
valparaiso,total,0.9957026427749722,0.005110455879077925
valparaiso,total,1.2414464153405262,0.003236507790132601
valparaiso,total,1.547840827123473,0.001975592793600298
valparaiso,total,1.92985472148076,0.0011543476441280291
valparaiso,total,2.4061513178605933,0.0006408547827381412
valparaiso,total,3.0,0.00033501651148721943
