lon,lat,vs30
-75.261415178,-51.456588208,380
-75.261415178,-51.556588208,380
-75.261415178,-51.656588208,380
-75.161415178,-44.756588208,380
-75.161415178,-44.856588208,380
-75.161415178,-44.956588208,380
-75.161415178,-45.856588208,380
-75.161415178,-46.256588208,380
-75.161415178,-46.356588208,380
-75.161415178,-46.456588208,380
-75.161415178,-46.556588208,380
-75.161415178,-46.656588208,380
-75.161415178,-46.756588208,380
-75.161415178,-47.656588208,380
-75.161415178,-47.756588208,380
-75.161415178,-47.856588208,380
-75.161415178,-47.956588208,380
-75.161415178,-48.056588208,380
-75.161415178,-48.156588208,380
-75.161415178,-48.256588208,380
-75.161415178,-48.356588208,380
-75.161415178,-48.456588208,380
-75.161415178,-48.556588208,380
-75.161415178,-48.656588208,380
-75.161415178,-48.756588208,380
-75.161415178,-48.856588208,380
-75.161415178,-48.956588208,380
-75.161415178,-49.056588208,380
-75.161415178,-49.156588208,380
-75.161415178,-49.256588208,380
-75.161415178,-49.356588208,380
-75.161415178,-49.456588208,380
-75.161415178,-49.556588208,380
-75.161415178,-49.656588208,380
-75.161415178,-49.756588208,380
-75.161415178,-49.856588208,380
-75.161415178,-50.056588208,380
-75.161415178,-50.156588208,380
-75.161415178,-50.256588208,380
-75.161415178,-50.356588208,380
-75.161415178,-50.456588208,380
-75.161415178,-50.556588208,380
-75.161415178,-50.756588208,380
-75.161415178,-51.256588208,380
-75.161415178,-51.356588208,380
-75.161415178,-51.456588208,380
-75.161415178,-51.556588208,380
-75.161415178,-51.856588208,380
-75.061415178,-44.756588208,380
-75.061415178,-44.856588208,380
-75.061415178,-44.956588208,380
-75.061415178,-45.856588208,380
-75.061415178,-45.956588208,380
-75.061415178,-46.056588208,380
-75.061415178,-46.156588208,380
-75.061415178,-46.256588208,380
-75.061415178,-46.356588208,380
-75.061415178,-46.456588208,380
-75.061415178,-46.556588208,380
-75.061415178,-46.656588208,380
-75.061415178,-46.756588208,380
-75.061415178,-47.656588208,380
-75.061415178,-47.756588208,380
-75.061415178,-47.856588208,380
-75.061415178,-47.956588208,380
-75.061415178,-48.056588208,380
-75.061415178,-48.156588208,380
-75.061415178,-48.256588208,380
-75.061415178,-48.356588208,380
-75.061415178,-48.456588208,380
-75.061415178,-48.556588208,380
-75.061415178,-48.656588208,380
-75.061415178,-48.756588208,380
-75.061415178,-48.856588208,380
-75.061415178,-48.956588208,380
-75.061415178,-49.056588208,380
-75.061415178,-49.156588208,380
-75.061415178,-49.256588208,380
-75.061415178,-49.356588208,380
-75.061415178,-49.456588208,380
-75.061415178,-49.556588208,380
-75.061415178,-49.656588208,380
-75.061415178,-49.756588208,380
-75.061415178,-49.856588208,380
-75.061415178,-50.056588208,380
-75.061415178,-50.156588208,380
-75.061415178,-50.256588208,380
-75.061415178,-50.356588208,380
-75.061415178,-50.456588208,380
-75.061415178,-50.556588208,380
-75.061415178,-50.656588208,380
-75.061415178,-50.756588208,380
-75.061415178,-50.856588208,380
-75.061415178,-51.156588208,380
-75.061415178,-51.256588208,380
-75.061415178,-51.356588208,380
-75.061415178,-51.456588208,380
-75.061415178,-51.756588208,380
-75.061415178,-51.856588208,380
-75.061415178,-51.956588208,380
-75.061415178,-52.056588208,380
-74.961415178,-45.856588208,380
-74.961415178,-45.956588208,380
-74.961415178,-46.056588208,380
-74.961415178,-46.156588208,380
-74.961415178,-46.256588208,380
-74.961415178,-46.356588208,380
-74.961415178,-46.456588208,380
-74.961415178,-46.556588208,380
-74.961415178,-46.656588208,380
-74.961415178,-46.756588208,380
-74.961415178,-47.656588208,380
-74.961415178,-47.756588208,380
-74.961415178,-47.856588208,380
-74.961415178,-47.956588208,380
-74.961415178,-48.056588208,380
-74.961415178,-48.156588208,380
-74.961415178,-48.256588208,380
-74.961415178,-48.356588208,380
-74.961415178,-48.456588208,380
-74.961415178,-48.556588208,380
-74.961415178,-48.656588208,380
-74.961415178,-48.756588208,380
-74.961415178,-48.856588208,380
-74.961415178,-48.956588208,380
-74.961415178,-49.056588208,380
-74.961415178,-49.156588208,380
-74.961415178,-49.256588208,380
-74.961415178,-49.356588208,380
